year,agriculture,commerce,construction,electricity_water,fishing,manufacturing,mining_hydrocarbons,other_services,peru
2005,3.39820609369278,5.1565304087737,8.69323673365032,5.63697857948139,4.92957746478875,6.5852301681885,10.2790389226139,5.30917062990639,6.28520816596756
2006,8.93321125765363,11.8780339805825,15.0051994069759,7.57737459978654,3.69127516778521,7.26903962729509,1.90119344990289,7.79662931039975,7.52877689165798
2007,3.31651877806691,10.2949152542374,16.6011505941169,9.2269654604282,9.26964224962936,10.5535940719545,4.16269462980614,8.93368873535761,8.51845009195603
2008,8.3623422875561,10.9659768581622,16.8168157861852,7.4556585942541,4.07972877784213,8.61060216013662,7.09591831017669,7.90572951454793,9.1265683014642
2009,2.04585625250162,'-0.468081970140361,6.81495163868884,1.24176008901419,'-3.90205273491171,'-6.71615373545812,0.807931940404558,4.68122078680797,1.0958236592427
2010,3.22341420065202,12.4777354185218,17.8438220944903,7.31861561873386,'-23.9919179647699,10.7528295515245,0.537168590553264,7.96949904246587,8.33245910749577
2011,4.64525665769332,8.94112095351612,3.56353504924208,7.45699140680458,58.5265906470075,8.56466230062445,'-0.533612387253029,7.20606270534833,6.32719240161117
2012,7.51833796488943,6.79497210306627,15.8859463484423,5.05386086236518,'-30.1773057580134,2.53745575474547,2.19599875284433,7.47793777927987,6.13972470560435
2013,2.69863999095321,5.85836835959435,9.40738760735749,5.44187135408598,24.096758788778,4.91971225980119,4.87914802132362,6.48535404594462,5.85251821084927
2014,1.57420842210591,4.41877003905621,2.24026297061413,4.89126616535461,'-27.9354823827835,'-3.64567483115236,'-0.87232682363792,5.9165457278084,2.38215737180541
2015,3.4653377797252,3.87729506515097,'-5.87620545591273,5.93624757203391,15.8668160704793,'-1.47159146203734,9.45786471377981,4.98681879756617,3.25224477218451
2016,2.69788043328501,1.81292248759659,'-3.19195240769639,7.32464789954861,'-10.088288043701,'-1.38337058574992,16.2960119521526,4.23255231576631,3.95331871520767
2017,2.94696058572424,1.02842483740801,2.173712776163,1.13808221876177,4.66525619272264,'-0.191556258589472,3.42455422590842,3.25296704609445,2.51883544233135
2018,7.68612615157262,2.64764919000051,5.31039801967607,4.39284781615261,47.6847546519541,5.88668478032881,'-1.4940228009791,4.46372891036013,3.969351341365
2019,3.54001747015194,2.99851129643602,1.3765798322551,3.93207960321304,'-17.1521570420915,'-1.66264900580002,'-0.0491931282535063,4.15493724051494,2.24063176875049
2020,1.03248033284262,'-15.9792950151675,'-13.2924288640467,'-6.14055903430737,4.21765426349549,'-12.5373814858722,'-13.416251611903,'-9.55503621847981,'-10.8696407826493
2021,4.64337933685108,17.8104739025062,34.8634605077308,8.54629135947758,9.91466632224072,18.6070874525279,8.12268528079994,10.0294951729925,13.4175302909947
2022,4.53497750597045,3.2561410335379,3.1027294827,3.90504978338922,'-11.3931389020404,0.952535128100095,0.515899525952634,3.21013165235836,2.68387143477631
2023,'-2.42600398457004,2.35544979288036,'-7.85547906517094,3.68413413997627,'-19.7470255670694,'-6.53275595217383,7.95252519439462,0.0330793244517338,'-0.551547084016278
