year,gdp_usd
1950,1025.39826329939
1951,1349.66168031385
1952,1375.81191120557
1953,1408.42760271324
1954,1427.73958106334
1955,1589.49164971336
1958,1771.77018863724
1959,1788.03197074855
1956,1816.15320842349
1957,1929.51153911906
1960,2225.27091700128
1961,2498.51257018546
1962,2909.80375573211
1963,3140.39018682858
1964,3752.17957092345
1968,4399.0499494209
1965,4468.20633724014
1967,4800.27160986279
1969,4907.23607020587
1966,5340.99225601345
1970,6211.72754979029
1971,6722.84144686773
1972,7675.53584995351
1973,9342.92507758515
1978,10681.9858055581
1974,11343.206467531
1977,12405.125055991
1976,13209.3211718163
1975,13475.7278133121
1979,14182.840810415
1985,14511.1680394805
1983,16680.2934768963
1984,16966.7085046981
1980,17492.1929765285
1986,20349.3767231978
1981,21021.0811437488
1982,21100.355700191
1988,22524.6417321645
1989,25304.6882358645
1987,27509.4193001362
1990,29408.3851327058
1991,33490.4306713205
1993,34160.9060477865
1992,35625.132616903
1994,42721.1715951698
1999,48725.0294795938
2000,50431.9299618171
2001,51049.3537208588
1995,51406.9681778946
1996,53412.4697438398
2002,53988.672207751
1998,54032.0935100173
1997,56302.7256280471
2003,58546.1308178112
2004,66155.8961256732
2005,74239.983646284
2006,87568.3255207432
2007,102387.685786437
2008,121465.901626789
2009,122270.72738361
2010,149049.70126307
2011,171087.003923827
2015,192844.410046487
2012,193492.781795491
2016,196623.004906224
2013,203065.139285098
2014,203811.292668386
2020,206195.45059246
2017,216785.765624871
2021,226306.191655399
2018,227645.534884443
2019,233105.097621201
2022,244464.557924883
2023,267346.349806492
