Index,year,month,net_reserves
1,1992,Ene,1354.540777
2,1992,Feb,1397.778447
3,1992,Mar,1414.876214
4,1992,Abr,1325.908411
5,1992,May,1418.433043
6,1992,Jun,1577.46775
7,1992,Jul,1669.86119
8,1992,Ago,1678.606565
9,1992,Sep,1846.016966
10,1992,Oct,1841.402438
11,1992,Nov,1857.239813
12,1992,Dic,2000.575521
13,1993,Ene,2022.950588
14,1993,Feb,2419.340449
15,1993,Mar,2162.795882
16,1993,Abr,2327.369072
17,1993,May,2521.970408
18,1993,Jun,2468.679703
19,1993,Jul,2489.663366
20,1993,Ago,2469.434135
21,1993,Sep,2520.555189
22,1993,Oct,2563.110698
23,1993,Nov,2581.948387
24,1993,Dic,2741.499535
25,1994,Ene,2827.841204
26,1994,Feb,2999.688889
27,1994,Mar,3117.290783
28,1994,Abr,3208.329954
29,1994,May,4699.958716
30,1994,Jun,4846.239726
31,1994,Jul,5093.542045
32,1994,Ago,5262.631644
33,1994,Sep,5562.720089
34,1994,Oct,5732.686054
35,1994,Nov,5587.41212
36,1994,Dic,5717.508257
37,1995,Ene,5747.714679
38,1995,Feb,5695.804643
39,1995,Mar,5673.93646
40,1995,Abr,5661.145938
41,1995,May,5653.203378
42,1995,Jun,6050.268565
43,1995,Jul,5991.260717
44,1995,Ago,6112.926311
45,1995,Sep,6157.243616
46,1995,Oct,6092.059558
47,1995,Nov,6251.331034
48,1995,Dic,6640.682251
49,1996,Ene,6639.444383
50,1996,Feb,6588.292246
51,1996,Mar,6818.573447
52,1996,Abr,6752.691181
53,1996,May,6864.798512
54,1996,Jun,7206.953893
55,1996,Jul,8325.922398
56,1996,Ago,8372.707358
57,1996,Sep,8481.525259
58,1996,Oct,8262.376576
59,1996,Nov,8422.37093
60,1996,Dic,8540.372808
61,1997,Ene,8647.943712
62,1997,Feb,9098.792906
63,1997,Mar,9172.621887
64,1997,Abr,9409.245752
65,1997,May,9556.405805
66,1997,Jun,9673.486642
67,1997,Jul,9768.525451
68,1997,Ago,9873.601547
69,1997,Sep,9768.103547
70,1997,Oct,10185.70749
71,1997,Nov,10201.76772
72,1997,Dic,10169.07313
73,1998,Ene,10191.54018
74,1998,Feb,10169.03349
75,1998,Mar,10248.27502
76,1998,Abr,10456.57799
77,1998,May,10310.78168
78,1998,Jun,10399.08
79,1998,Jul,10323.49454
80,1998,Ago,10206.45997
81,1998,Sep,10064.09151
82,1998,Oct,9920.962182
83,1998,Nov,9738.531415
84,1998,Dic,9183.452254
85,1999,Ene,9320.201821
86,1999,Feb,9172.666424
87,1999,Mar,8822.121471
88,1999,Abr,8844.658443
89,1999,May,8765.880901
90,1999,Jun,8704.085105
91,1999,Jul,8780.799189
92,1999,Ago,8644.05945
93,1999,Sep,8626.86159
94,1999,Oct,8677.30145
95,1999,Nov,8582.1422
96,1999,Dic,8403.62699
97,2000,Ene,8785.65619
98,2000,Feb,8783.65902
99,2000,Mar,8803.26724
100,2000,Abr,8774.93521
101,2000,May,8951.51405
102,2000,Jun,8709.96714
103,2000,Jul,8823.03293
104,2000,Ago,8747.48908
105,2000,Sep,8743.58627
106,2000,Oct,8464.90685
107,2000,Nov,8441.70096
108,2000,Dic,8179.97889
109,2001,Ene,8201.23052
110,2001,Feb,8017.80403
111,2001,Mar,8111.261
112,2001,Abr,8126.9557
113,2001,May,8225.81616
114,2001,Jun,8341.57196
115,2001,Jul,8699.98134
116,2001,Ago,8660.05721
117,2001,Sep,8679.20273
118,2001,Oct,8795.02432
119,2001,Nov,8767.66789
120,2001,Dic,8613.34082
121,2002,Ene,8667.10345
122,2002,Feb,9027.79964
123,2002,Mar,8786.17183
124,2002,Abr,9097.69046
125,2002,May,9163.49124
126,2002,Jun,9126.32992
127,2002,Jul,9594.30093
128,2002,Ago,9885.74314
129,2002,Sep,9856.55859
130,2002,Oct,9880.70311
131,2002,Nov,9767.02293
132,2002,Dic,9598.10912
133,2003,Ene,9832.52907
134,2003,Feb,10276.97397
135,2003,Mar,10442.96113
136,2003,Abr,10456.69169
137,2003,May,10359.94461
138,2003,Jun,9996.91563
139,2003,Jul,9989.4013
140,2003,Ago,9739.06728
141,2003,Sep,9755.44779
142,2003,Oct,9809.51457
143,2003,Nov,10302.81886
144,2003,Dic,10194.30475
145,2004,Ene,10563.67603
146,2004,Feb,10503.01339
147,2004,Mar,10411.09783
148,2004,Abr,10471.00973
149,2004,May,10823.78758
150,2004,Jun,10854.80723
151,2004,Jul,11056.57298
152,2004,Ago,10962.42179
153,2004,Sep,11186.62491
154,2004,Oct,12165.80229
155,2004,Nov,12337.44903
156,2004,Dic,12631.02031
157,2005,Ene,13125
158,2005,Feb,13328
159,2005,Mar,13555
160,2005,Abr,13629
161,2005,May,14016
162,2005,Jun,13818
163,2005,Jul,15283
164,2005,Ago,13625
165,2005,Sep,13695
166,2005,Oct,13547
167,2005,Nov,13543
168,2005,Dic,14097
169,2006,Ene,14139
170,2006,Feb,13989
171,2006,Mar,14472
172,2006,Abr,14493
173,2006,May,14235
174,2006,Jun,14415
175,2006,Jul,14638
176,2006,Ago,15379
177,2006,Sep,15172
178,2006,Oct,15673
179,2006,Nov,16473
180,2006,Dic,17275
181,2007,Ene,17849
182,2007,Feb,18136
183,2007,Mar,18427
184,2007,Abr,19704
185,2007,May,21271
186,2007,Jun,21528
187,2007,Jul,23333
188,2007,Ago,24069
189,2007,Sep,22827
190,2007,Oct,24890
191,2007,Nov,26348
192,2007,Dic,27689
193,2008,Ene,30737
194,2008,Feb,32306
195,2008,Mar,33576
196,2008,Abr,35625
197,2008,May,34859
198,2008,Jun,35518
199,2008,Jul,34843
200,2008,Ago,34917
201,2008,Sep,34702
202,2008,Oct,31933
203,2008,Nov,30970
204,2008,Dic,31196
205,2009,Ene,30098
206,2009,Feb,29412
207,2009,Mar,30929
208,2009,Abr,31079
209,2009,May,31189
210,2009,Jun,30790
211,2009,Jul,32089
212,2009,Ago,31955
213,2009,Sep,32130
214,2009,Oct,32920
215,2009,Nov,33428
216,2009,Dic,33135
217,2010,Ene,34342
218,2010,Feb,35010
219,2010,Mar,35269
220,2010,Abr,35049
221,2010,May,34610
222,2010,Jun,35341
223,2010,Jul,38635
224,2010,Ago,40204
225,2010,Sep,42464
226,2010,Oct,42956
227,2010,Nov,44104
228,2010,Dic,44105
229,2011,Ene,44511
230,2011,Feb,46268
231,2011,Mar,46127
232,2011,Abr,46512
233,2011,May,46307
234,2011,Jun,47152
235,2011,Jul,47674
236,2011,Ago,48515
237,2011,Sep,48068
238,2011,Oct,48696
239,2011,Nov,49050
240,2011,Dic,48816
241,2012,Ene,50830
242,2012,Feb,53315
243,2012,Mar,55789
244,2012,Abr,57490
245,2012,May,56882
246,2012,Jun,57225
247,2012,Jul,57980
248,2012,Ago,59771
249,2012,Sep,61161
250,2012,Oct,61904
251,2012,Nov,63216
252,2012,Dic,63991
253,2013,Ene,67016
254,2013,Feb,67629
255,2013,Mar,67918
256,2013,Abr,68255
257,2013,May,66765
258,2013,Jun,66683
259,2013,Jul,67615
260,2013,Ago,66635
261,2013,Sep,66729
262,2013,Oct,66391
263,2013,Nov,66279
264,2013,Dic,65663
265,2014,Ene,65074
266,2014,Feb,65177
267,2014,Mar,64954
268,2014,Abr,64729
269,2014,May,64629
270,2014,Jun,64581
271,2014,Jul,65536
272,2014,Ago,64850
273,2014,Sep,64453
274,2014,Oct,63530
275,2014,Nov,63250
276,2014,Dic,62308
277,2015,Ene,62619
278,2015,Feb,61896
279,2015,Mar,61323
280,2015,Abr,61627
281,2015,May,60413
282,2015,Jun,60017
283,2015,Jul,59734
284,2015,Ago,60613
285,2015,Sep,61439
286,2015,Oct,62172
287,2015,Nov,62196
288,2015,Dic,61485
289,2016,Ene,59981
290,2016,Feb,60198
291,2016,Mar,61281
292,2016,Abr,61273
293,2016,May,60619
294,2016,Jun,59564
295,2016,Jul,61086
296,2016,Ago,61769
297,2016,Sep,61575
298,2016,Oct,62009
299,2016,Nov,61364
300,2016,Dic,61686
301,2017,Ene,62572
302,2017,Feb,62291
303,2017,Mar,62487
304,2017,Abr,62998
305,2017,May,63414
306,2017,Jun,62601
307,2017,Jul,63050
308,2017,Ago,62005
309,2017,Sep,64360
310,2017,Oct,63560
311,2017,Nov,62983
312,2017,Dic,63621
313,2018,Ene,64290
314,2018,Feb,61885
315,2018,Mar,62032
316,2018,Abr,60190
317,2018,May,60065
318,2018,Jun,59079
319,2018,Jul,60797
320,2018,Ago,60275
321,2018,Sep,57941
322,2018,Oct,58492
323,2018,Nov,59387
324,2018,Dic,60121
325,2019,Ene,62379.57584206
326,2019,Feb,63254
327,2019,Mar,63091
328,2019,Abr,64882
329,2019,May,66309.42386209
330,2019,Jun,66513
331,2019,Jul,66753
332,2019,Ago,68269
333,2019,Sep,67860
334,2019,Oct,67986
335,2019,Nov,66771
336,2019,Dic,68316
337,2020,Ene,68399
338,2020,Feb,67611
339,2020,Mar,68022
340,2020,Abr,73632
341,2020,May,73439
342,2020,Jun,71449.71203365
343,2020,Jul,74335.72126159
344,2020,Ago,74667.79874836
345,2020,Sep,72353.88923515
