year,pen_usd_exchange_rate
1950,1.495e-8
1951,1.528e-8
1952,1.56e-8
1954,1.9e-8
1955,1.9e-8
1956,1.9e-8
1957,1.9e-8
1953,1.989e-8
1958,2.449e-8
1960,2.676e-8
1961,2.681e-8
1962,2.682e-8
1963,2.682e-8
1964,2.682e-8
1965,2.682e-8
1966,2.682e-8
1959,2.77e-8
1967,3.87e-8
1968,3.87e-8
1969,3.87e-8
1970,3.87e-8
1971,3.87e-8
1972,3.87e-8
1973,3.87e-8
1974,3.87e-8
1975,4.03708333333333e-8
1976,5.57558333333333e-8
1977,8.40591666666667e-8
1978,1.56730833333333e-7
1979,2.2972e-7
1980,2.97603333333333e-7
1981,4.28991666666667e-7
1982,7.10960833333333e-7
1983,0.000001685715
1984,0.0000037143525
1985,0.0000127425
1986,0.0000178733333333333
1987,0.0000317991666666667
1988,0.000297060833333333
1989,0.00442079916666667
1990,0.205344705152357
1991,0.77770208032708
1992,1.25042173657638
1993,1.98906690928573
1994,2.19640638528139
1995,2.25581501335134
1996,2.45429123376623
2012,2.63819247234247
1997,2.66398813985722
2013,2.70278198811423
2011,2.7547087220274
2010,2.82578548611317
2014,2.83938113275613
2008,2.92591830428344
1998,2.9293818001443
2009,3.01220440305309
2007,3.12896049878484
2015,3.18609071067821
2017,3.2621647955803
2006,3.27456817371437
2018,3.28813374724691
2005,3.29668952684742
2019,3.33875803391053
2016,3.377125553467
1999,3.38449526789635
2004,3.41382002635046
2003,3.47920663780664
2000,3.48989899428798
2020,3.49720165945166
2001,3.50811264259133
2002,3.51765681533379
2023,3.74739014675468
2022,3.83938430541935
2021,3.88414404683481
